기준년도,기준월,지가변동률,KB주택매매가격지수,KB주택전세가격지수,아파트매매실거래가격지수,아파트매매가격지수,아파트전세가격지수,아파트월세통합가격지수,한국은행 기준금리,정부대출금리,국민주택채권1종(5년),현금통화량,중앙은행 대 예금취급기관부채,가계 통화량,기업 통화량,금융기관 통화량,기타 통화량,  주택담보대출-예금취급기관,    주택담보대출-예금은행,    주택담보대출-비은행예금취급기관,주택담보대출 - 주택금융공사 및 주택도시기금,뉴스심리지수,경제심리지수(원계열),경제심리지수(순환변동치),소비자물가지수(총지수),소비자물가지수(주택임차료),소비자물가지수(전세),소비자물가지수(월세),생산자물가지수,수입물가지수,수출물가지수,기대인플레이션
2015,6,0.229,57.244,71.024,81.4,76.7,83.6,98.2,1.5,1.932,2.230136364,69520.6,49926.8,1161882.1,544064.4,369760.2,104098.2,457614.5,372218.5,85396,100119.3,101.01,91.3,97.7,94.909,95.85,92.304,100.092,100.82,101.51,102.08,2.5
2015,7,0.242,57.512,71.576,82.5,77.1,84.2,98.2,1.5,1.704,2.235304348,70657.3,53507.7,1168494,555483.2,368363.2,109503.3,458250,372423.7,85826.3,106297.5,103.04,95.4,97.3,95.08,96.013,92.591,100.102,100.45,102.06,101.64,2.5
2015,8,0.223,57.829,72.11,83.2,77.6,84.8,98.2,1.5,1.704,2.1044,71783.5,49670,1175067.6,563162.8,367241.8,109841.1,464677.1,378604.9,86072.2,106285.8,95.59,97,97,95.213,96.176,92.886,100.102,99.83,102.69,101.22,2.5
2015,9,0.22,58.252,72.807,83.9,78.1,85.7,98.4,1.5,1.704,1.982,72309.8,53218.2,1180848.8,571384.8,359294.8,112687.4,470243,383681.7,86561.3,107249.6,100.85,96.7,96.6,94.966,96.311,93.117,100.122,99.39,101.88,100.6,2.4
2015,10,0.241,58.54,73.234,84.4,78.6,86.5,98.5,1.5,1.627,1.907952381,74275.9,51053.5,1188269.6,570135.6,357954.8,114369.9,477560.6,390388,87172.6,107433.9,109.97,97.1,96.2,94.966,96.445,93.349,100.142,98.71,97.99,97.49,2.4
2015,11,0.236,58.938,73.854,84.8,79.1,87.4,98.5,1.5,1.627,2.053904762,74680.7,53814.8,1193534,575431.4,359427.2,114171.8,482916.4,395124.5,87791.9,108309.1,106.35,96.8,95.7,94.786,96.608,93.607,100.182,98.32,96.93,95.81,2.4
2015,12,0.239,59.125,74.216,84.4,79.4,88.1,98.5,1.5,1.627,2.058227273,75355.6,53340.5,1200372.9,578971.1,350291,115265.9,490826.1,401728.5,89097.6,107603.3,101.51,93.7,95.1,95.07,96.809,93.922,100.232,98.09,97,94.78,2.4
2016,1,0.187,59.192,74.486,84.2,79.5,88.4,98.5,1.5,1.664,1.915,76837.2,53688.4,1207873.6,582373,358327.3,118176.5,492905.1,403236.3,89668.8,108782.3,96.31,93.6,94.6,95.232,96.973,94.18,100.282,97.56,97.38,93.32,2.4
2016,2,0.176,59.279,74.735,84.4,79.5,88.6,98.5,1.5,1.664,1.719777778,77847.3,52671.9,1215032.7,586614.4,368982.4,117924.8,494445.9,404133.9,90311.9,110591,94.62,92.5,94.3,95.64,97.078,94.337,100.322,97.56,98.15,94.79,2.4
2016,3,0.208,59.321,74.948,84.5,79.5,88.7,98.5,1.5,1.664,1.738954545,78463.2,54785.5,1221500.5,591382.8,360590.3,119774.7,498294.2,407110.8,91183.4,112053.9,103.9,94.1,94.2,95.393,97.241,94.606,100.362,97.5,96.96,94.88,2.5
2016,4,0.225,59.391,75.12,84.8,79.6,88.8,98.5,1.5,1.602,1.6894,79412.6,55746.2,1227368,596577.9,354781.4,120808.9,503768.8,411100.1,92668.7,112693.2,100.9,96.8,94.4,95.573,97.347,94.772,100.382,97.74,94.11,93.14,2.5
2016,5,0.257,59.557,75.311,85.5,79.7,89,98.5,1.5,1.602,1.6577,80244.5,56250.5,1235274.3,598554.5,363478,121708.9,509365.1,415638.8,93726.3,112824.8,96.89,95.1,94.7,95.63,97.481,94.984,100.432,97.86,96.37,96.37,2.5
2016,6,0.275,59.795,75.515,86.6,80,89.3,98.4,1.25,1.602,1.497095238,81265.9,55893.7,1237504.6,609282.5,366682.6,122320.1,515249.6,420111.5,95138.1,113156.2,91.43,94.8,95.2,95.611,97.625,95.225,100.442,98.09,96.52,97.11,2.4
2016,7,0.282,60.12,75.696,87.9,80.3,89.5,98.4,1.25,1.453,1.337904762,82116,55425.9,1242793,611719.7,372284.3,123510.8,521200.5,424800.9,96399.6,114004.2,105.13,95.9,95.7,95.431,97.778,95.456,100.502,97.98,94.47,94.41,2.4
2016,8,0.272,60.457,75.824,89.2,80.6,89.7,98.3,1.25,1.453,1.352318182,82776.1,56715.3,1249090.5,617266.3,382009,127292.1,527287.5,429553.4,97734.2,115131.9,98.47,97.8,96.2,95.677,97.912,95.705,100.502,98.07,92.73,92.73,2.3
2016,9,0.273,60.72,75.965,90.4,80.9,89.9,98.3,1.25,1.453,1.451947368,83740.8,57324.3,1256100.9,621177.1,372837.6,128635.1,530809,433556,97253,116664.9,90.23,97.8,96.6,96.247,98.027,95.927,100.492,98.3,93.46,92.89,2.4
2016,10,0.286,61.156,76.205,91.6,81.5,90.1,98.3,1.25,1.402,1.5657,84484,56725,1261597.3,620210,373341.8,132953.3,536140.4,437032.9,99107.6,119067.7,91.28,96.2,96.8,96.379,98.123,96.103,100.492,98.59,96.61,96.93,2.4
2016,11,0.254,61.559,76.412,91.8,81.9,90.4,98.3,1.25,1.402,1.9195,85086.4,58242.6,1268797.9,623656.3,376523.9,134959.2,542494,441460.5,101033.5,120826.4,91.37,96,97,96.237,98.277,96.325,100.552,99.03,100.28,99.28,2.5
2016,12,0.239,61.62,76.512,91.2,82,90.5,98.2,1.25,1.402,2.062409091,85676,57879.1,1277551.2,625767.9,370896,137589.4,545839.6,442564.1,103275.4,122932.8,94.28,93.8,97.3,96.342,98.469,96.667,100.562,99.9,103.38,103.46,2.4
2017,1,0.191,61.638,76.558,91,82,90.6,98.2,1.25,1.522,1.99035,85371.8,58492.9,1284548.1,623968.8,372809.9,139909,545880.7,441232.5,104648.2,125173,98.57,96.1,97.5,97.366,98.613,96.898,100.552,101.35,104.63,105.75,2.7
2017,2,0.232,61.661,76.579,91,82.1,90.6,98.2,1.25,1.522,2.0237,90574.4,59547.8,1295910.8,619606.4,372392.8,140422,547746,441641.6,106104.4,126786.7,98.16,97.9,97.9,97.632,98.785,97.156,100.622,101.74,103.15,103.51,2.7
2017,3,0.322,61.723,76.611,91.7,82.2,90.8,98.2,1.25,1.522,2.075272727,87977.1,56814.6,1301968,621094.6,369585.4,142971.3,550692.5,443167.6,107525,128073.7,100.8,100.4,98.4,97.565,98.948,97.452,100.612,101.7,101.79,101.29,2.6
2017,4,0.333,61.808,76.669,92,82.5,91,98.2,1.25,1.44,2.03125,89141.4,60690.3,1309299.6,623868,373588.1,142471,553204.1,444431.2,108772.9,130054.2,114.5,100,98.8,97.442,99.092,97.757,100.582,101.48,102.48,101.72,2.6
2017,5,0.509,61.944,76.754,93.4,82.8,91.2,98.2,1.25,1.44,2.070526316,90021.6,59963.1,1315419.9,624538.1,376333.5,145057,556528.9,446450.8,110078.1,131642.3,116.12,100.9,99.4,97.546,99.265,97.997,100.672,101.21,101.26,100.28,2.6
2017,6,0.492,62.472,76.997,95.3,83.7,91.6,98.2,1.25,1.44,2.029904762,90798,59975,1321682.6,628625.5,373940.1,146626.3,560141.5,449425.5,110715.9,133072.8,111.73,100.3,99.9,97.338,99.341,98.164,100.662,100.81,101.01,99.07,2.5
2017,7,0.484,63.009,77.269,97.7,84.1,91.8,98.2,1.25,1.386,2.095761905,91639.3,60350.3,1329943.4,627899.2,364252.1,147834.2,563446.4,452073.2,111373.2,135695.5,111.66,99.6,100.4,97.499,99.399,98.33,100.612,100.89,102.15,99.57,2.5
2017,8,0.397,63.671,77.543,98,84.6,92.1,98.2,1.25,1.386,2.155409091,92486.4,60159.1,1336628.7,635184.3,363695.2,148715.2,566589.7,454539,112050.7,137215.9,95.99,100.7,100.9,98.058,99.466,98.487,100.572,101.35,102.73,101.13,2.5
2017,9,0.317,63.766,77.667,98.3,84.6,92.2,98.2,1.25,1.386,2.164285714,95332.8,60636,1340014.4,640172.9,356323.6,150538.3,570079.2,457427.9,112651.3,138524.1,101.38,99.3,101.2,98.172,99.514,98.589,100.552,102.03,103.91,102.92,2.6
2017,10,0.278,64.05,77.811,99.4,84.8,92.3,98.2,1.25,1.362,2.379875,93828.8,62480.9,1351766.8,645062.4,356858,148042.4,572997.6,459715.6,113282.1,139769.4,110.12,102.4,101.4,98.077,99.543,98.672,100.522,102.14,104.45,103.5,2.6
2017,11,0.334,64.447,77.97,100,85.2,92.5,98.2,1.5,1.362,2.519272727,95673.2,61514.7,1353894.4,648615,362943.6,153573.1,575798.6,462086.8,113711.8,140506.6,117.43,102.4,101.5,97.347,99.639,98.839,100.532,102.04,102.82,103.25,2.5
2017,12,0.345,64.873,78.104,101,85.9,92.7,98.2,1.5,1.362,2.46125,96011.6,62816.2,1357085.9,655661.9,358890.2,154464.4,578312.9,464208.5,114104.5,141398.4,109.52,102.3,101.3,97.698,99.648,98.894,100.492,102.09,101.27,102.53,2.5
2018,1,0.417,65.602,78.247,103,87,92.9,98.2,1.5,1.638,2.598681818,96740.9,60734,1361356.7,672405.4,372695.6,153960.5,579043.6,465097.3,113946.3,141859,113.18,99.7,100.9,98.106,99.725,99.051,100.482,102.52,101.04,103.37,2.5
2018,2,0.417,66.249,78.341,104.8,88.2,93.1,98.3,1.5,1.638,2.702944444,96860.8,63014.6,1362481.5,677762.1,379917,155590.1,580327,466588.2,113738.8,142450.8,105.26,101.2,100.4,98.855,99.792,99.171,100.472,102.95,102.27,103.84,2.5
2018,3,0.44,67.08,78.433,106.1,88.9,93,98.2,1.5,1.638,2.688142857,98355.4,62599.3,1373701,674395.6,375615.1,152808.3,582392.9,468822.8,113570.1,143717,103.55,98.1,99.8,98.751,99.821,99.282,100.422,102.91,100.82,104.39,2.5
2018,4,0.302,67.624,78.427,107.4,89.2,92.7,98.1,1.5,1.651,2.61152381,98403.5,63450,1375667.2,678597.7,379965.5,156661,583879.7,470447.7,113432,144869.3,105.34,100.1,99.3,98.931,99.859,99.402,100.382,103.04,101,105.53,2.5
2018,5,0.36,67.893,78.372,107.9,89.4,92.3,97.9,1.5,1.651,2.69085,98973.5,62229.9,1380359.8,682884.4,387124.6,157579.8,585506,472394.1,113112,146093.1,105.84,102.1,98.9,98.979,99.898,99.486,100.352,103.34,102.75,108.64,2.5
2018,6,0.424,68.158,78.343,108.6,89.6,92.1,97.8,1.5,1.651,2.603263158,99570.7,64717.3,1386712.3,684753.2,388758,159728.9,587660.8,474866.4,112794.3,147071.1,101.89,100.2,98.4,98.779,99.898,99.55,100.292,103.37,103.55,110.01,2.6
2018,7,0.563,68.518,78.37,110.3,89.9,92.1,97.8,1.5,1.652,2.489818182,100157.4,65244.4,1390894.3,689057.5,392418.4,163397.9,589421.2,477140.3,112280.9,148043.7,91.27,95.9,97.9,98.59,99.917,99.606,100.262,103.85,106.14,111.5,2.6
2018,8,0.613,69.318,78.507,115,90.7,92.4,97.9,1.5,1.652,2.355909091,100771.7,65488.3,1391927.1,692897.2,400948.2,165391.2,592145.6,480367.1,111778.5,148484,96.4,97,97.5,99.462,99.936,99.661,100.242,104.32,106.09,111.18,2.6
2018,9,0.681,71.976,78.973,121.5,92.3,92.7,98,1.5,1.652,2.244705882,100669.3,68119.7,1394992,697614.4,386556.3,167034.8,594816.2,483501.3,111314.8,149266.2,101.19,99.5,97,100.221,99.936,99.689,100.212,104.62,106.3,113.03,2.7
2018,10,0.69,73.3,79.35,122.4,92.9,92.9,98,1.5,1.685,2.297380952,102500.9,67434.5,1399129.2,708982.6,397046.3,166216.2,597077.5,485916.3,111161.2,150903.5,87.17,95.2,96.6,100.041,99.946,99.726,100.202,104.26,106.82,115.02,2.6
2018,11,0.609,73.589,79.444,120.7,92.9,92.9,98,1.75,1.685,2.183363636,102979.3,66989.1,1403666.8,712748.1,406530.5,165844.5,601108.9,490357.5,110751.4,150986,93.76,94.1,96.1,99.33,99.955,99.754,100.182,103.53,103.48,109.36,2.5
2018,12,0.433,73.669,79.368,119.1,92.8,92.7,97.9,1.75,1.685,1.98815,103740.7,69813.2,1408729.9,718489,404838.8,165991.3,604487.7,494265.4,110222.3,151499.4,92.42,94.7,95.8,98.988,99.936,99.781,100.122,103.03,100.61,105.31,2.5
2019,1,0.388,73.659,79.288,117.9,92.4,92.2,97.7,1.75,1.851,1.967181818,104631,67434.5,1414895.1,731925.3,415252.3,166988.2,605242.9,496332.7,108910.2,152109.5,97.41,91.9,95.5,98.884,99.926,99.781,100.092,102.92,99.23,105.14,2.4
2019,2,0.275,73.591,79.018,117.1,92.1,91.6,97.5,1.75,1.851,1.947,105184.1,69088.1,1421025.1,725890.6,418223.8,168460.2,606385,498588.3,107796.7,152649.6,96.01,97.4,95.3,99.311,99.917,99.8,100.052,103.02,99.65,107.47,2.4
2019,3,0.329,73.467,78.795,116.1,91.7,91,97.4,1.75,1.851,1.9183,106143.2,68192.6,1428614.3,734423.2,419623.8,167980.8,608003.8,501292.6,106711.2,153158.9,95.88,96.5,95.1,99.121,99.879,99.8,99.972,103.38,99.84,109.28,2.4
2019,4,0.378,73.361,78.665,116.1,91.4,90.7,97.3,1.75,1.867,1.847,106713.1,69974.2,1433453.9,731541.2,422121.7,174377.1,610359.1,504400.6,105958.6,154013.5,101.83,97.8,95,99.481,99.84,99.772,99.912,103.68,100.51,111.21,2.2
2019,5,0.445,73.316,78.588,117.3,91.2,90.6,97.2,1.75,1.867,1.795142857,107210.3,69902.9,1443034.8,734882.2,424418.5,178305.2,612316.8,507066.4,105250.4,154461.5,94.9,94.2,94.9,99.652,99.811,99.744,99.872,103.79,103.07,113.57,2.3
