날짜,매매지수,전세지수,월세지수,KB주택매매가격지수,KB주택전세가격지수,아파트매매실거래가격지수,아파트매매가격지수,아파트전세가격지수,아파트월세통합가격지수,한국은행 기준금리,정부대출금리,국민주택채권1종(5년),소비자물가지수(총지수),소비자물가지수(주택임차료),소비자물가지수(전세),소비자물가지수(월세),생산자물가지수,수입물가지수,수출물가지수,기대인플레이션
2018-01-01,89.8,95.5,99.8,65.602,78.247,103.0,87.0,92.9,98.2,1.5,1.638,2.598681818,98.106,99.725,99.051,100.482,102.52,101.04,103.37,2.5
2018-02-01,90.0,95.4,99.7,66.249,78.341,104.8,88.2,93.1,98.3,1.5,1.638,2.702944444,98.855,99.792,99.171,100.472,102.95,102.27,103.84,2.5
2018-03-01,90.1,95.2,99.7,67.08,78.433,106.1,88.9,93.0,98.2,1.5,1.638,2.688142857,98.751,99.821,99.282,100.422,102.91,100.82,104.39,2.5
2018-04-01,90.1,95.1,99.6,67.624,78.427,107.4,89.2,92.7,98.1,1.5,1.651,2.61152381,98.931,99.859,99.402,100.382,103.04,101.0,105.53,2.5
2018-05-01,90.1,94.8,99.5,67.893,78.372,107.9,89.4,92.3,97.9,1.5,1.651,2.69085,98.979,99.898,99.486,100.352,103.34,102.75,108.64,2.5
2018-06-01,90.1,94.6,99.3,68.158,78.343,108.6,89.6,92.1,97.8,1.5,1.651,2.603263158,98.779,99.898,99.55,100.292,103.37,103.55,110.01,2.6
2018-07-01,90.1,94.4,99.2,68.518,78.37,110.3,89.9,92.1,97.8,1.5,1.652,2.489818182,98.59,99.917,99.606,100.262,103.85,106.14,111.5,2.6
2018-08-01,90.1,94.2,99.1,69.318,78.507,115.0,90.7,92.4,97.9,1.5,1.652,2.355909091,99.462,99.936,99.661,100.242,104.32,106.09,111.18,2.6
2018-09-01,90.4,94.1,99.0,71.976,78.973,121.5,92.3,92.7,98.0,1.5,1.652,2.244705882,100.221,99.936,99.689,100.212,104.62,106.3,113.03,2.7
2018-10-01,90.5,94.1,98.9,73.3,79.35,122.4,92.9,92.9,98.0,1.5,1.685,2.297380952,100.041,99.946,99.726,100.202,104.26,106.82,115.02,2.6
2018-11-01,90.7,94.0,98.9,73.589,79.444,120.7,92.9,92.9,98.0,1.75,1.685,2.183363636,99.33,99.955,99.754,100.182,103.53,103.48,109.36,2.5
2018-12-01,90.6,93.8,98.7,73.669,79.368,119.1,92.8,92.7,97.9,1.75,1.685,1.98815,98.988,99.936,99.781,100.122,103.03,100.61,105.31,2.5
2019-01-01,90.5,93.6,98.7,73.659,79.288,117.9,92.4,92.2,97.7,1.75,1.851,1.967181818,98.884,99.926,99.781,100.092,102.92,99.23,105.14,2.4
2019-02-01,90.4,93.4,98.6,73.591,79.018,117.1,92.1,91.6,97.5,1.75,1.851,1.947,99.311,99.917,99.8,100.052,103.02,99.65,107.47,2.4
2019-03-01,90.3,93.1,98.5,73.467,78.795,116.1,91.7,91.0,97.4,1.75,1.851,1.9183,99.121,99.879,99.8,99.972,103.38,99.84,109.28,2.4
2019-04-01,90.1,92.9,98.3,73.361,78.665,116.1,91.4,90.7,97.3,1.75,1.867,1.847,99.481,99.84,99.772,99.912,103.68,100.51,111.21,2.2
2019-05-01,89.9,92.7,98.2,73.316,78.588,117.3,91.2,90.6,97.2,1.75,1.867,1.795142857,99.652,99.811,99.744,99.872,103.79,103.07,113.57,2.3
2019-06-01,89.8,92.5,98.1,73.261,78.529,119.7,91.1,90.5,97.2,1.75,1.867,1.607,99.491,99.744,99.67,99.832,103.5,100.79,109.36,2.2
2019-07-01,89.7,92.3,98.0,73.531,78.553,122.2,91.2,90.5,97.2,1.5,1.696,1.481826087,99.187,99.725,99.643,99.822,103.5,100.44,110.23,2.2
2019-08-01,89.7,92.2,97.9,73.828,78.645,123.9,91.3,90.7,97.3,1.5,1.696,1.258142857,99.425,99.696,99.615,99.792,103.74,101.81,111.01,2.1
2019-09-01,89.7,92.2,97.9,74.158,78.747,125.3,91.5,90.8,97.3,1.5,1.696,1.440894737,99.794,99.696,99.615,99.792,103.8,100.96,110.73,1.9
2019-10-01,89.8,92.3,97.9,74.587,78.934,127.2,92.0,91.1,97.4,1.25,1.393,1.555952381,100.041,99.706,99.615,99.812,103.56,98.87,108.14,1.8
2019-11-01,90.0,92.4,97.9,75.007,79.1,129.5,92.7,91.5,97.4,1.25,1.393,1.704428571,99.481,99.715,99.624,99.812,103.41,96.74,107.11,1.8
2019-12-01,90.3,92.6,97.9,75.81,79.399,131.8,93.8,92.0,97.6,1.25,1.393,1.611904762,99.719,99.735,99.633,99.842,103.7,97.41,108.83,1.8
2020-01-01,90.6,92.9,97.9,76.315,79.681,132.8,94.2,92.7,97.7,1.25,1.432,1.5846,100.09,99.79,99.7,99.89,104.08,96.75,107.94,1.8
