날짜,한국,미국,중국,일본,독일,인도,영국,프랑스,캐나다,이탈리아,오스트레일리아,멕시코,인도네시아,스위스,스웨덴,노르웨이,남아프리카 공화국,덴마크,뉴질랜드
2018-01-01,1.66,1.63,4.85,0.07,-0.33,6.34,0.52,-0.33,1.55,-0.33,1.79,7.7,5.31,-0.87,-0.69,0.84,7.32,-0.31,1.88
2018-02-01,1.65,1.78,4.49,0.07,-0.33,6.38,0.55,-0.33,1.55,-0.33,1.77,7.84,5.31,-0.87,-0.66,0.93,7.12,-0.3,1.91
2018-03-01,1.65,2.08,4.8,0.1,-0.33,6.23,0.63,-0.33,1.6,-0.33,1.93,7.86,5.32,-0.8,-0.66,1.07,7.06,-0.3,1.93
2018-04-01,1.65,2.2,4.37,0.1,-0.33,6.13,0.76,-0.33,1.64,-0.33,2.06,7.86,5.45,-0.8,-0.66,1.14,6.98,-0.29,2.01
2018-05-01,1.65,2.16,4.54,0.08,-0.33,6.3,0.64,-0.33,1.65,-0.33,1.96,7.89,6.25,-0.79,-0.7,1.07,7.01,-0.28,2.02
2018-06-01,1.65,2.19,4.63,0.08,-0.32,6.49,0.64,-0.32,1.65,-0.32,2.07,8.02,7.1,-0.79,-0.69,1.01,7.03,-0.3,2.01
2018-07-01,1.65,2.17,3.93,0.09,-0.32,6.55,0.75,-0.32,1.8,-0.32,2.02,8.15,7.24,-0.78,-0.67,1.04,7.07,-0.3,1.94
2018-08-01,1.65,2.19,3.23,0.09,-0.32,6.76,0.81,-0.32,1.84,-0.32,1.96,8.14,7.07,-0.78,-0.68,1.04,7.12,-0.3,1.91
2018-09-01,1.65,2.24,3.12,0.05,-0.32,7.02,0.8,-0.32,1.87,-0.32,1.93,8.17,7.14,-0.78,-0.73,1.09,7.14,-0.3,1.9
2018-10-01,1.68,2.37,3.22,0.05,-0.32,6.99,0.81,-0.32,2.01,-0.32,1.93,8.17,7.46,-0.83,-0.7,1.09,7.19,-0.31,1.89
2018-11-01,1.71,2.56,3.37,0.05,-0.32,6.87,0.87,-0.32,2.13,-0.32,1.94,8.37,7.61,-0.82,-0.73,1.2,7.32,-0.3,1.98
2018-12-01,1.91,2.69,3.87,0.05,-0.31,6.67,0.9,-0.31,2.19,-0.31,2.02,8.5,7.69,-0.78,-0.66,1.28,7.49,-0.29,1.98
2019-01-01,1.87,2.59,3.24,0.03,-0.31,6.64,0.92,-0.31,2.14,-0.31,2.07,8.62,7.49,-0.81,-0.44,1.26,7.51,-0.3,1.91
2019-02-01,1.87,2.49,2.91,0.03,-0.31,6.48,0.88,-0.31,1.99,-0.31,1.96,8.57,7.36,-0.77,-0.4,1.27,7.25,-0.32,1.9
2019-03-01,1.9,2.48,3.08,0.05,-0.31,6.36,0.84,-0.31,1.86,-0.31,1.83,8.52,7.23,-0.76,-0.4,1.34,7.04,-0.32,1.88
2019-04-01,1.86,2.47,3,0.05,-0.31,6.3,0.82,-0.31,1.86,-0.31,1.68,8.5,7.21,-0.75,-0.4,1.4,7.1,-0.33,1.81
2019-05-01,1.84,2.44,3.15,0.05,-0.31,6.37,0.8,-0.31,1.87,-0.31,1.54,8.51,7.24,-0.78,-0.4,1.46,7.17,-0.34,1.72
2019-06-01,1.8,2.3,3.6,0.05,-0.33,6,0.78,-0.33,1.84,-0.33,1.29,8.52,7.11,-0.78,-0.4,1.51,7.11,-0.36,1.6
2019-07-01,1.68,2.22,3.16,0.05,-0.36,5.83,0.77,-0.36,1.84,-0.36,1.11,8.45,6.64,-0.84,-0.4,1.57,7.04,-0.39,1.55
2019-08-01,1.49,2.06,3.11,0.01,-0.41,5.49,0.76,-0.41,1.84,-0.41,0.98,8.33,6.29,-0.81,-0.43,1.61,6.99,-0.43,1.25
2019-09-01,1.54,2.03,3.3,0.01,-0.42,5.34,0.77,-0.42,1.83,-0.42,0.98,8.11,6.04,-0.79,-0.41,1.7,6.86,-0.45,1.15
2019-10-01,1.46,1.88,3.46,0.01,-0.41,5.18,0.78,-0.41,1.84,-0.41,0.88,7.89,5.74,-0.76,-0.43,1.81,6.81,-0.43,1.05
2019-11-01,1.52,1.77,3.33,0.02,-0.4,5.03,0.79,-0.4,1.85,-0.4,0.91,7.7,5.5,-0.71,-0.47,1.85,7,-0.41,1.18
2019-12-01,1.53,1.76,3.49,0.02,-0.39,4.98,0.79,-0.39,1.91,-0.39,0.9,7.56,5.5,-0.74,-0.46,1.85,7.13,-0.4,1.23
2020-01-01,1.47,1.65,3.67,0.02,-0.39,5.07,0.74,-0.39,1.91,-0.39,0.89,7.44,5.47,-0.75,-0.17,1.83,6.86,-0.41,1.27
2020-02-01,1.42,1.59,2.98,0.02,-0.41,5.09,0.75,-0.41,1.8,-0.41,0.89,7.3,5.33,-0.72,-0.15,1.75,6.33,-0.41,1.18
2020-03-01,1.23,1.35,2.55,0.01,-0.42,4.98,0.53,-0.42,1.27,-0.42,0.53,6.98,5.02,-0.68,-0.15,1.39,6.09,-0.36,0.71
2020-04-01,1.1,,2.32,-0.04,-0.25,4.13,0.65,-0.25,0.48,-0.25,0.17,6.43,4.9,-0.62,-0.17,0.76,5.1,-0.12,0.39
2020-05-01,1.02,0.17,2.13,-0.04,-0.27,3.42,0.33,-0.27,0.35,-0.27,0.1,5.93,4.9,-0.66,-0.14,0.3,4.16,-0.13,0.26
