날짜,한국,호주,브라질,캐나다,칠레,체코,덴마크,유로 지역,헝가리,아이슬란드,인도네시아,이스라엘,일본,멕시코,뉴질랜드,노르웨이,폴란드,러시아,남아프리카공화국,스웨덴,튀르키예,미국
2018-01-01,158176638,76164.77,678793.75,82537.1,10278761.42,3015548,115644,3333703.8,7127885,143102.37,1107638922,157702.68,476718600,1483140.41,13878,115222,246326,14506741,235404.69,164872,459242.26,3779418
2018-02-01,165676030,75738,668024.85,82483.69,10022778.1,2976740,115589,3304184.74,6945550,134592.72,1103193843,175834.42,475179600,1478777.37,13758.84,85497,247605,14579334.2,234697.25,123268,462514.68,3865336
2018-03-01,163765621,76750,680258.96,83211.46,10349965.88,2985559,113512,3213925.41,7008542,118142.79,1121053722,163855.62,487004400,1522133.95,15392.13,101821,243050,15477538.8,245659.42,205318,477213.45,3785268
2018-04-01,159087961,76166,677210.1,83309.74,10230399.47,3078497,114496,3323919.18,7107574,128520.15,1120659513,160501.36,498304800,1495940.65,14349.23,79239,253163,15780716.4,242912.74,225115,481494.3,3681228
2018-05-01,162659652,75582,657502.21,84732.52,10741295.97,3124395,116590,3350321.31,7020508,121080.21,1191232599,156305.07,492626900,1510220.13,14118.7,74874,234535,16153419.2,243542.34,107563,506021.89,3697964
2018-06-01,167048272,75715,659934.94,86313.76,10513903.78,2994650,101207,3249446.5,7146715,122423.78,1209230749,165975.91,502917300,1534341.95,14246.37,98786,243018,16481829.1,244429.85,103935,509726.37,3632134
2018-07-01,164566531,76263,674955.16,86751.94,11197792.44,3016622,102153,3336094.15,7196152,117464.05,1087252273,160089.22,502978800,1528709.96,14089.81,95739,260994,16236396,243725.87,116093,533546.34,3638864
2018-08-01,170586799,76710,667726.6,88262.1,11819105.18,3089520,101231,3366373.52,7008798,135881.28,1093530380,167547.06,501963600,1520063.68,13846.8,81640,257575,16118622.1,246425.79,107530,580060.36,3590514
2018-09-01,177902426,77951,679536.17,88315.64,11241801.45,3059900,100623,3299703.1,6773048,130202.01,1088931567,176156.42,504988100,1509265.39,13934.09,74807,268003,16354960.9,252609.52,109329,544285.71,3545395
2018-10-01,173738887,79772,693609.11,87088.87,10549499.47,3072162,101257,3375157.01,6773017,105474.51,1088394914,174849.69,506855200,1528718.79,13630.92,79843,260547,16090390.4,254269.66,71667,507358.23,3486395
2018-11-01,171141717,80825,684410.85,87337.2,10755425.13,3068216,101389,3371196.86,6814896,103429.99,1087057004,184688.89,501591800,1566428.36,13887.77,75362,272021,15694772.5,256282.17,83481,490796,3487945
2018-12-01,172353298,81407,715836.64,90443.6,11295937.57,2920502,102668,3245510.07,7642205,145226.68,1167523159,187460.15,504216600,1674210.8,14637.11,85014,298374,16063429.6,268745.34,166701,500845.47,3411499
2019-01-01,179920824,80901,693853.74,86818.1,11249178.95,3226192,101313,3363674.51,6984454,126752.27,1097364753,181070.97,500192400,1603684.09,13833.32,106263,269426,15520760,252722.82,102866,495840.9,3328116
2019-02-01,180690675,80407,698660.71,86578.8,11855226.69,3282108,101238,3361393.95,7204314,132273.85,1082232684,184273.97,497299700,1579046.17,13993.4,81895,270660,15877827.1,252973.03,126468,491188.73,3406233
2019-03-01,180425465,80155,699712.41,86785.46,11755290,3231233,102194,3327959.96,7189563,132987.57,1086744672,197261.73,506293200,1561115.51,14057.91,85528,260678,15799600.6,261864.22,70038,518976.83,3367549
2019-04-01,176149421,80631,705291.97,88045.74,10670102.25,3358770,103037,3408452.67,7132813,146347.08,1109736860,192191.32,514559800,1571665.46,14217.42,75237,276906,15751350,264034.05,129618,541890.74,3208205
2019-05-01,183868670,79997,708706.85,88979.13,11250324.28,3367285,104074,3404549.28,7003315,130155.97,1240558375,204924.96,511811300,1574536.2,13648.55,81157,278297,15596818.4,261387.46,88758,576064.83,3286529
2019-06-01,183143538,80335,709204.78,90623.1,12354790.09,3308459,103482,3299303.97,7333345,111420.91,1117978482,197690.63,523219800,1574601.5,13959.41,112843,264445,15540994.9,261879.85,73173,561648.75,3263459
2019-07-01,173689041,80767,686567.74,90717.9,11396466.69,3391974,104450,3328743.9,7047206,121348.37,1111734856,193464.54,518102000,1561175.77,15219.83,135234,281928,16156000.2,262674.24,98492,535321.01,3243010
2019-08-01,185472984,80983,691380.91,91051.37,11047916.35,3395096,103292,3312352.51,7227161,125912.12,1114412968,192938.97,515944500,1569316.42,14629.12,169001,264556,16444582.9,265296.82,74071,560160.65,3272538
2019-09-01,186543991,81397,697377.37,90041.44,12250270.03,3394693,103244,3266322.36,7364210,129508.31,1114802112,198379.86,520393400,1556210.65,14830.38,107665,292841,16612183,268319.56,90734,548801.16,3211373
2019-10-01,187003239,82457,708364.38,90310.89,12244050.45,3411876,103137,3355893.25,7638087,113224.4,1114771757,189278.29,522981900,1562899.77,13815.85,101311,292046,16456972.1,265722.78,117995,574262.59,3278585
2019-11-01,186456991,82909,717851.97,90790.79,14079588.94,3433627,103653,3378627.44,7949508,111981.44,1115889798,201071.8,517284300,1621394.5,14458.47,75019,270900,16499490.9,279386.4,121946,554421.77,3361449
