날짜,농림수산품,광산품,공산품,"전력,가스,수도및폐기물",운송서비스,음식점및숙박서비스,정보통신및방송서비스,금융및보험서비스,부동산서비스,"전문,과학및기술서비스",사업지원서비스,교육서비스,"예술,스포츠및여가관련서비스",기타서비스
2018-01-01,111.2,113.43,102.34,95.59,102.65,106.11,99.47,98.51,103.51,107.83,106.99,104.67,104.28,105.8
2018-02-01,116.3,114.06,102.65,95.64,102.77,106.69,99.47,98.19,103.91,107.81,107,105.23,105.53,106.24
2018-03-01,114.72,114.65,102.62,95.69,102.22,106.86,99.46,98.26,104.03,107.81,107.38,105.7,105.51,107.22
2018-04-01,115.8,115.39,102.68,95.75,102.13,107.3,99.44,98.22,104.01,108.1,107.68,105.98,106.75,107.45
2018-05-01,114.93,115.41,103.2,95.96,102.36,107.73,99.41,98.21,104.01,108.03,107.79,106.03,107.19,107.56
2018-06-01,111.75,115.44,103.52,96.01,102.27,107.82,99.4,97.57,103.99,108.12,108.01,106.06,105.57,107.69
2018-07-01,116.85,114.52,103.95,95.71,103.13,108.43,99.71,96.5,103.96,108,109.06,106.18,106.86,107.71
2018-08-01,126.25,113.92,104.08,95.78,103.35,108.93,99.67,96.57,104.22,108.03,109.28,106.33,107.52,107.78
2018-09-01,128.21,113.38,104.42,97.01,103.19,108.47,100.12,97.04,104.22,108.31,108.28,106.48,107.78,107.86
2018-10-01,115.94,113.17,104.55,97,103.55,108.51,99.96,95.65,104.37,108.53,108.34,106.56,107.79,107.94
2018-11-01,112.28,115.06,103.46,96.97,103.72,108.71,99.54,94.8,104.31,108.53,108.33,106.62,106.31,108.06
2018-12-01,115.56,115.21,102.24,96.91,103.79,109.38,99.23,94.64,104.33,108.46,108.31,106.71,105.46,108.21
2019-01-01,115.71,115.35,101.71,97.46,103.73,109.61,99.35,95.06,104.19,109.35,109.49,107.42,106.25,108.66
2019-02-01,111.79,115.09,101.93,97.5,104.13,109.77,99.35,93.69,105.1,110.9,109.99,107.61,106.82,108.9
2019-03-01,113.39,115.64,102.44,97.45,104.21,109.99,99.32,93.35,105,111.42,110.62,107.97,106.59,109.08
2019-04-01,114.91,116.05,102.71,97.78,104.82,110.27,99.18,93.81,104.79,112.51,110.73,108.08,107.98,109.04
2019-05-01,112.24,115.98,103.03,97.93,105.21,110.55,99.26,92.88,104.83,112.49,111.18,108.23,107.56,109.1
2019-06-01,111.64,114.76,102.46,97.97,105.17,110.65,99.24,93.3,104.85,112.46,111.59,108.35,106.89,109.13
2019-07-01,111.58,114.53,102.28,98.32,105.24,111.14,99.39,92.96,104.87,112.31,112.54,108.37,108.51,109.24
2019-08-01,115.24,115.66,102.41,98.41,105.58,111.49,99.41,91.99,104.95,112.53,112.51,108.41,109.43,109.28
2019-09-01,117.92,117.56,102.36,99.51,104.85,110.86,99.4,92.84,104.97,112.65,111.56,108.46,108.47,109.45
2019-10-01,112.42,115.22,102.18,99.55,105.1,111.03,99.18,92.97,105.07,112.34,111.64,108.65,108.68,110.15
2019-11-01,113.39,114.12,101.86,99.37,105.27,111.05,98.89,93.05,105.06,112.91,111.61,108.79,107.04,110.24
2019-12-01,117.94,113.56,102.04,99.83,104.98,111.32,98.91,93.16,105.21,112.95,111.61,108.91,106.62,110.35
2020-01-01,121.95,113.37,101.92,100.31,105.81,111.62,99.89,93.04,105.34,114.36,114.52,109.41,107.63,110.71
2020-02-01,118.16,113.62,101.45,100.34,105.58,111.52,99.93,93.13,105.85,114.36,114.69,109.76,106.59,110.88
2020-03-01,119.53,113.73,99.85,100.31,105,111.31,99.8,90.43,105.88,114.28,114.71,109.88,106.62,110.97
2020-04-01,119.71,112.88,98.04,100.21,105.25,111.4,99.81,90.86,105.89,114.28,114.77,109.97,106.77,110.8
2020-05-01,122.94,112.22,97.84,100.09,105.39,111.61,99.81,91.74,105.65,114.28,114.56,110.1,107.04,110.86
2020-06-01,121.02,110.81,98.71,100.03,105.27,111.64,101.32,93.01,105.75,114.31,114.57,110.16,106.96,110.88
2020-07-01,125.49,109.88,99.09,95.91,106.83,111.95,101.29,93.59,105.88,114.43,114.55,110.28,108.29,110.96
2020-08-01,133.18,110.36,99.34,96.12,107.08,112.39,101.32,94.85,106.11,114.85,114.52,110.36,109.24,111
2020-09-01,139.66,113.16,99.4,96.39,106.54,111.98,101.31,95.25,106.1,114.79,114.53,110.51,108.48,110.52
2020-10-01,126.22,113.61,99.46,95.74,106.72,112.2,100.93,94.81,106.34,114.87,114.63,110.65,109.01,110.6
2020-11-01,124.25,114.18,99.74,95.59,106.8,112.03,100.92,95.62,106.28,115.11,114.62,110.79,107.39,110.59
2020-12-01,127.16,114.22,100.93,96.16,106.73,112.34,100.99,97.37,106.37,115.4,114.65,110.84,106.33,110.66
2021-01-01,135.26,113.8,102.29,95.37,107.38,112.49,101.7,99.31,106.39,116.18,116.44,111.07,107.31,111.56
2021-02-01,139.42,113.66,103.52,96.11,107.73,112.8,101.72,99.28,106.82,116.31,116.44,111.27,106.37,111.84
2021-03-01,139.28,113.44,105.57,96.99,107.46,113.31,101.76,98.89,107,116.66,116.54,111.64,106.72,112.14
2021-04-01,135.18,113.91,107.46,97.55,107.95,113.83,101.8,99.91,106.87,117.64,116.53,111.82,108.21,112.69
2021-05-01,133.53,116.13,108.8,96.61,107.98,114.05,101.8,99.78,107.03,118.41,115.95,111.92,108.52,112.63
2021-06-01,133.92,121.38,109.69,96.94,108.52,114.2,101.81,100.52,107.16,118.29,115.97,111.97,108.28,112.71
2021-07-01,136.07,122.04,111.42,96.38,109.86,114.89,102.03,100.54,107.25,118.62,115.69,112.06,109.92,112.82
2021-08-01,136.96,122.06,112.13,97.46,110.23,115.49,102.11,100.18,107.42,118.78,116.71,112.1,110.94,112.9
2021-09-01,135.9,123.15,112.77,99.43,110.59,115.4,102.06,100.09,107.44,119.02,116.2,112.21,110.08,113.02
2021-10-01,129.51,126.27,115.1,101.68,111.19,115.78,102.16,98.74,107.34,119.25,116.22,112.26,110.19,113.7
2021-11-01,131.45,126.92,116.17,103.77,111.99,116.19,102.16,98.76,106.93,119.55,117,112.35,108.84,113.97
2021-12-01,134.87,126.97,115.46,105.53,112.51,117.31,102.01,98.83,106.99,119.79,117.02,112.58,108.61,114.17
2022-01-01,137.31,130.88,116.8,108.09,113.41,118.38,102.38,97.83,107.11,120.81,119.9,112.95,110.33,115.35
2022-02-01,130.26,133.72,118.32,108,113.6,119.33,102.45,94.73,107.58,120.82,119.83,113.24,110.07,115.86
2022-03-01,130.57,134.78,121.51,108.23,113.68,120.38,102.53,94.84,107.65,121.12,119.85,114.09,110.88,116.25
2022-04-01,133.21,133.01,123.97,114.05,115.09,121.1,102.55,94.84,107.79,121.96,120.16,114.36,113.4,116.7
2022-05-01,135.25,132.02,125.35,112.39,116.31,122.24,102.63,94.32,107.89,122.38,120.34,114.56,113.93,117.36
2022-06-01,136.18,130.74,126.42,112.66,117.04,123.08,102.74,93.27,108.05,122.38,120.58,115.01,114.52,117.75
2022-07-01,141.83,133.1,125.59,117.25,118.89,124.62,102.9,92.49,108.13,122.38,122.33,115.16,116.33,118.73
2022-08-01,145.42,135.36,123.62,121.47,118.87,125.77,102.91,93.31,108.34,122.22,122.58,115.26,117.24,118.94
2022-09-01,145.55,137.27,123.6,124.53,117.76,125.77,102.99,92.1,108.41,122.44,122.66,115.36,115.53,119.28
2022-10-01,134.86,135.54,124.1,134.67,118.45,126.3,103.02,90.81,108.66,122.47,122.72,115.44,115.6,120.31
2022-11-01,130.5,135.26,123.54,134.56,117.92,126.51,103.01,91.96,108.37,122.57,122.73,115.52,114.95,120.63
2022-12-01,136.95,134.97,121.98,134.93,118.14,127.26,102.98,91.69,108.5,122.53,122.56,115.8,115.32,121.13
2023-01-01,137.76,141.64,121.66,140.33,118.13,127.86,104.03,91.44,108.49,124.26,124.12,116.49,115.89,122.83
2023-02-01,137.48,143.15,121.89,139.84,117.86,128.61,104.09,92.24,109.01,124.26,124.17,116.83,116.12,124.22
2023-03-01,136.28,143.59,122.2,139.33,117.23,129.51,104.1,92.08,108.8,124.11,124.34,117.68,116.59,125.01
2023-04-01,133.85,143.3,122.38,135.23,116.62,130.52,104.1,92.86,108.94,125.01,124.35,118.05,118.01,125.75
2023-05-01,135.92,143.64,121.21,136.01,116.18,130.94,104.15,92.8,108.97,125.04,124.55,118.16,118.11,125.99
