날짜,식료품 및 비주류음료,주류 및 담배,의류 및 신발,"주택, 수도, 전기 및 연료",가정용품 및 가사 서비스,보건,교통,통신,오락 및 문화,교육,음식 및 숙박,기타 상품 및 서비스
2018-01-01,93.324,99.07,98.501,97.852,96.489,98.714,102.789,104.9,99.351,100.856,95.865,95.787
2018-02-01,96.027,99.167,99.092,98.404,97.262,98.753,103.059,104.763,100.755,101.139,96.216,96.157
2018-03-01,94.486,98.983,99.178,98.569,97.961,98.849,102.989,104.669,100.448,101.431,96.531,96.382
2018-04-01,94.962,99.109,99.187,98.549,97.514,98.426,102.709,105.173,102.011,101.636,96.9,96.617
2018-05-01,94.073,98.964,99.206,98.53,98.222,98.406,103.619,105.057,102.199,101.675,97.233,96.572
2018-06-01,92.866,98.935,99.226,98.452,97.822,98.57,104.329,104.952,100.3,101.695,97.323,96.707
2018-07-01,93.148,99.128,99.111,96.903,98.25,97.568,104.249,104.375,101.922,101.714,97.637,96.455
2018-08-01,98.026,99.109,99.111,97.145,98.195,97.617,104.519,104.27,102.674,101.812,97.853,96.698
2018-09-01,101.424,99.041,99.178,98.801,97.952,97.568,104.669,104.186,102.792,101.89,97.691,96.807
2018-10-01,98.748,99.032,99.178,99.072,98.353,97.472,106.099,104.133,102.347,101.948,97.835,96.626
2018-11-01,95.675,99.235,99.511,98.995,98.25,97.395,104.369,103.955,100.696,101.948,98.033,96.879
2018-12-01,95.842,98.983,99.55,98.975,98.232,97.357,101.329,103.65,99.766,101.997,98.384,96.707
2019-01-01,95.789,99.157,98.901,98.724,98.978,98.262,98.899,103.283,100.468,102.456,98.699,97.357
2019-02-01,96.441,99.186,99.521,99.876,100.367,98.358,98.699,102.39,101.319,102.563,98.87,97.664
2019-03-01,95.508,98.858,99.226,99.74,100.292,98.329,99.289,102.127,100.587,102.602,98.636,97.836
2019-04-01,96.318,99.244,98.959,99.498,100.74,98.406,100.769,102.411,101.615,102.66,98.789,98.052
2019-05-01,95.816,99.689,99.054,99.576,99.705,98.416,103.049,102.201,101.2,102.748,98.978,98.395
2019-06-01,94.768,99.873,99.102,99.634,99.444,98.714,103.299,102.043,100.181,102.797,99.068,98.152
2019-07-01,93.923,99.892,99.111,98.249,100.357,98.522,102.569,101.613,101.685,102.797,99.284,98.224
2019-08-01,94.821,99.94,99.111,98.327,100.012,98.531,102.579,102.001,102.515,102.826,99.545,98.188
2019-09-01,97.304,100.153,99.149,99.905,99.313,98.618,102.979,102.285,101.418,101.031,99.05,98.188
2019-10-01,97.497,100.221,99.321,100.06,100.497,98.666,103.589,102.211,101.774,101.168,99.212,98.26
2019-11-01,94.988,99.96,99.893,100.05,99.714,98.637,103.109,101.413,100.092,101.217,99.23,98.323
2019-12-01,95.974,100.008,99.893,100.215,100.19,98.734,103.569,101.361,99.42,101.275,99.374,98.341
2020-01-01,97.16,100.17,99.62,100.17,99.54,100.4,105.09,100.75,100.12,99.86,99.72,99.4
2020-02-01,96.66,100.19,99.78,100.76,100.33,100.31,105.06,100.7,99.83,100.04,99.65,99.74
2020-03-01,98.06,99.85,99.79,100.68,99.77,100.36,101.88,100.66,99.4,100.03,99.5,99.66
2020-04-01,97.65,99.83,99.38,100.56,99.86,100.34,98.28,101.29,99.71,100.06,99.58,99.44
2020-05-01,98.45,99.95,99.94,100.2,100.19,100.36,96.06,101.25,100.02,99.97,99.79,99.84
2020-06-01,98.68,99.95,99.94,100.29,99.8,100.8,97.63,101.84,99.84,100.01,99.88,99.97
2020-07-01,99.15,99.98,100.26,98.14,99.92,99.84,99.62,101.76,100.23,100.08,100.12,100.21
2020-08-01,101.8,99.98,100.25,98.46,100.22,99.76,99.83,101.69,100.69,100.17,100.39,100.11
2020-09-01,104.79,100.08,100.27,99.97,99.44,99.31,99.4,101.62,100.03,99.87,100.21,100.87
2020-10-01,104.85,100.14,100.17,100.26,100.42,99.62,99.05,87.78,100.33,99.9,100.43,100.16
2020-11-01,101.24,99.98,100.27,100.18,100.09,99.5,98.59,99.89,99.92,99.97,100.23,100.4
2020-12-01,101.51,99.88,100.33,100.3,100.42,99.4,99.51,100.75,99.89,100.03,100.51,100.2
2021-01-01,103.39,100.16,100.19,100.35,101.17,100.22,101.82,99.22,100.13,100.25,100.79,101.41
2021-02-01,105.69,100.21,100.24,100.89,100.82,100.23,102.55,99.25,100.03,100.39,101.06,101.31
2021-03-01,105.84,99.87,100.25,101.18,99.98,100.31,103.97,99.32,99.82,100.77,101.42,101.55
2021-04-01,105.35,100.38,100.2,101.17,100.19,100.03,104.71,99.32,100.4,100.89,101.94,102.14
2021-05-01,105.16,100.43,100.36,101.44,101,99.88,104.66,98.88,100.53,100.89,102.13,102.31
2021-06-01,104.56,100.52,100.36,101.61,101.11,99.79,105.53,98.87,99.89,100.95,102.32,102
2021-07-01,104.75,100.57,100.38,100.52,102.11,99.91,107.07,98.87,100.72,101,102.9,102.08
2021-08-01,106.2,100.66,100.38,100.78,102.46,99.92,107.9,98.88,101.21,101.1,103.39,102.3
2021-09-01,107.87,100.74,100.39,102.28,102.51,99.7,107.59,98.89,100.63,100.94,103.44,102.1
2021-10-01,106.72,100.66,100.49,102.87,103.3,99.63,109.31,98.39,100.65,101.04,103.82,102.23
2021-11-01,107.25,100.56,101.71,103.11,103.46,99.74,111.48,99.62,100.38,101.05,104.28,101.8
2021-12-01,107.85,100.4,101.74,103.4,104.35,99.7,109.41,99.63,100.81,101.15,105.26,102.81
2022-01-01,109.34,100.82,102.08,103.95,104.58,100.83,109.3,99.64,101.56,101.48,106.26,105
2022-02-01,109.63,101.51,102.21,104.77,104.87,100.86,111.16,99.65,101.01,101.66,107.13,106.35
2022-03-01,109.55,102.29,102.25,104.9,104.2,100.4,116.96,99.43,101.62,101.73,107.91,106.09
2022-04-01,110.29,102.72,102.22,105.83,106.29,100.57,118.93,99.7,102.37,101.94,108.51,105.83
2022-05-01,111.35,102.96,103.42,106.49,106.38,100.53,119.61,99.71,102.61,102.1,109.55,107.73
2022-06-01,111.32,102.87,103.47,106.83,106.85,100.61,123.38,99.72,103.27,102.42,110.38,108.7
2022-07-01,112.99,103.05,103.59,106.71,107.38,100.62,123.54,99.75,104.18,102.52,111.59,109.12
2022-08-01,114.56,103.19,103.69,106.91,107.91,100.78,117.64,99.76,104.96,102.61,112.61,109.22
2022-09-01,116.06,102.92,103.71,108.39,107.44,100.61,115.72,100.06,104.17,102.54,112.57,109.61
2022-10-01,114.72,103.06,103.84,110.49,108.02,101.09,115.34,100.92,104.18,102.53,112.94,110.06
2022-11-01,112.46,102.99,106.93,110.43,108.43,101.11,115.43,100.92,104.24,102.47,113.12,110.46
2022-12-01,113.53,103.04,107.15,110.57,108.99,101.06,113.15,100.92,105.34,102.7,113.83,111.04
2023-01-01,115.37,102.85,107.41,111.75,110.28,102.13,112.34,100.92,106.06,103.19,114.41,112.99
2023-02-01,115.91,103.33,107.48,112.35,111.18,102.23,111.38,100.93,106.09,103.43,115,113.27
2023-03-01,116.46,103.4,107.85,111.97,111.27,102.28,110.87,100.94,106.39,104.07,115.84,113.61
2023-04-01,115.9,103.41,107.84,111.99,111.98,101.9,111.79,100.95,106.79,104.31,116.69,114.75
2023-05-01,115.99,103.23,111.55,112.55,112.7,102.01,111.52,100.95,106.96,104.4,117.04,114.29
2023-06-01,116.3,103.5,111.45,113.11,112.58,102.4,109.74,100.97,107.1,104.44,117.25,114.47
2023-07-01,117.3,103.55,111.59,111.75,112.86,102.47,110.25,100.97,107.57,104.46,117.94,114.77
2023-08-01,120.53,103.58,111.68,111.85,113.25,102.56,114.09,100.98,107.92,104.46,118.4,115.19
2023-09-01,122.46,103.28,111.68,113.19,113.41,102.51,115.28,101.19,107.63,104.49,117.96,115.3
2023-10-01,122.85,103.66,112.31,113.56,113.8,102.63,117.29,101.21,107.69,104.55,118.18,115.25
2023-11-01,119.8,104.81,113.5,113.47,113.42,102.8,114.98,101.23,107.24,104.48,118.38,115.27
2023-12-01,120.56,105.01,113.57,113.61,114.01,102.83,112.89,101.24,107.35,104.52,118.88,115.58
2024-01-01,122.2,104.4,113.61,113.73,113.74,103.98,111.97,101.24,107.35,104.96,119.09,118.38
2024-02-01,123.96,104.33,113.63,114.12,113.94,104.06,113.64,101.24,108.41,105.09,119.39,118.25
2024-03-01,124.22,104.43,113.65,114,114.69,104.25,114,101.24,107.96,105.43,119.78,118.49
2024-04-01,122.75,104.7,113.59,114.04,114.7,104.26,115.02,101.24,108.45,105.76,120.14,119.14
