날짜,대출평균,기업대출,대기업대출,중소기업대출,운전자금대출,시설자금대출,상업어음할인,기업일반자금대출,가계대출,소액대출 (500만원 이하),주택담보대출,고정형 주택담보대출,변동형 주택담보대출,예·적금담보대출,보증대출,전세자금대출,일반신용대출,집단대출,공공및기타부문대출
2018-01-01,3.69,3.68,3.33,3.92,3.67,3.76,4.79,3.68,3.71,4.57,3.47,3.54,3.38,3.06,3.62,3.25,4.39,3.52,3.56
2018-02-01,3.68,3.69,3.31,3.92,3.68,3.74,4.72,3.69,3.65,4.61,3.46,3.57,3.35,3.04,3.55,3.21,4.34,3.44,3.55
2018-03-01,3.67,3.66,3.3,3.86,3.67,3.61,4.71,3.65,3.69,4.71,3.45,3.58,3.33,3.08,3.58,3.23,4.48,3.54,4.02
2018-04-01,3.65,3.64,3.31,3.85,3.65,3.6,4.69,3.62,3.69,4.74,3.47,3.57,3.38,3.08,3.59,3.25,4.49,3.43,3.73
2018-05-01,3.68,3.66,3.31,3.88,3.68,3.58,4.72,3.64,3.75,4.68,3.49,3.62,3.38,3.15,3.64,3.24,4.56,3.54,3.77
2018-06-01,3.65,3.63,3.3,3.85,3.65,3.54,4.69,3.62,3.72,4.68,3.46,3.57,3.35,3.14,3.61,3.21,4.57,3.45,3.45
2018-07-01,3.67,3.64,3.27,3.86,3.67,3.53,4.72,3.63,3.73,4.64,3.44,3.5,3.35,3.14,3.65,3.22,4.56,3.52,3.84
2018-08-01,3.63,3.62,3.25,3.83,3.64,3.56,4.7,3.61,3.66,4.48,3.36,3.39,3.3,3.15,3.58,3.21,4.47,3.41,3.5
2018-09-01,3.61,3.62,3.21,3.88,3.63,3.56,4.69,3.59,3.62,4.64,3.29,3.3,3.28,3.22,3.56,3.23,4.39,3.4,3.08
2018-10-01,3.64,3.65,3.42,3.84,3.67,3.59,4.74,3.67,3.64,4.42,3.31,3.3,3.32,3.23,3.57,3.25,4.45,3.45,3.03
2018-11-01,3.66,3.69,3.42,3.87,3.71,3.58,4.79,3.68,3.63,4.56,3.28,3.25,3.35,3.25,3.57,3.29,4.56,3.3,3.2
2018-12-01,3.72,3.77,3.5,3.98,3.8,3.6,4.7,3.69,3.61,4.63,3.19,3.16,3.27,3.26,3.58,3.33,4.64,3.23,3.5
2019-01-01,3.73,3.81,3.58,4,3.83,3.66,4.93,3.79,3.58,4.44,3.12,3.08,3.24,3.26,3.6,3.36,4.57,3.14,3.12
2019-02-01,3.7,3.78,3.56,3.93,3.83,3.51,4.89,3.74,3.5,4.56,3.08,3.05,3.18,3.24,3.49,3.35,4.49,3.11,3.74
2019-03-01,3.66,3.71,3.5,3.84,3.77,3.51,4.85,3.68,3.53,4.63,3.04,3.01,3.13,3.26,3.48,3.29,4.63,3.09,3.87
2019-04-01,3.65,3.71,3.53,3.83,3.76,3.49,4.84,3.67,3.48,4.65,2.98,2.93,3.1,3.21,3.43,3.23,4.54,3.12,3.29
2019-05-01,3.62,3.67,3.47,3.79,3.73,3.4,4.83,3.63,3.49,4.65,2.93,2.87,3.11,3.2,3.43,3.15,4.4,3.28,3.61
2019-06-01,3.49,3.58,3.38,3.71,3.66,3.3,4.72,3.5,3.25,4.55,2.74,2.69,2.9,3.21,3.2,3.04,4.23,2.85,3.75
2019-07-01,3.4,3.52,3.31,3.66,3.59,3.24,4.65,3.46,3.12,4.37,2.64,2.6,2.74,3.12,3.11,2.93,3.96,2.76,3.49
2019-08-01,3.19,3.32,3.11,3.45,3.4,3.07,4.5,3.24,2.92,4.13,2.47,2.43,2.55,3.02,2.95,2.77,3.63,2.76,3.32
2019-09-01,3.31,3.42,3.3,3.5,3.51,3.12,4.56,3.38,3.02,4.36,2.51,2.45,2.64,3.08,3.2,2.87,3.86,2.88,3.35
2019-10-01,3.2,3.28,3.13,3.39,3.34,3.09,4.49,3.25,3.01,4.59,2.5,2.42,2.77,3.02,3.25,2.91,3.9,2.75,2.86
2019-11-01,3.18,3.29,3.05,3.45,3.35,3.11,4.47,3.24,2.96,4.56,2.45,2.35,2.99,3.05,3.18,2.95,3.9,3.1,3.23
2019-12-01,3.22,3.36,3.17,3.5,3.42,3.14,4.31,3.33,2.98,4.58,2.45,2.35,2.94,3.05,3.24,2.99,3.87,2.98,2.62
2020-01-01,3.19,3.32,3.12,3.48,3.35,3.2,4.48,3.29,2.95,4.49,2.51,2.42,2.9,3.01,3.13,2.92,3.83,2.94,2.87
2020-02-01,3.08,3.19,2.96,3.35,3.24,3.02,4.37,3.11,2.9,4.49,2.52,2.47,2.74,2.93,3.02,2.83,3.7,2.75,3.27
2020-03-01,2.91,2.94,2.72,3.13,2.96,2.87,4.19,2.94,2.88,4.33,2.48,2.43,2.66,2.84,2.99,2.72,3.49,2.61,2.32
2020-04-01,2.8,2.77,2.65,2.86,2.78,2.72,4,2.77,2.89,4.36,2.58,2.55,2.66,2.74,2.93,2.64,3.5,2.69,2.46
2020-05-01,2.82,2.83,2.75,2.88,2.83,2.81,3.93,2.84,2.81,4.26,2.52,2.52,2.53,2.67,2.83,2.57,3.33,2.53,2.58
2020-06-01,2.72,2.75,2.54,2.9,2.76,2.72,3.71,2.81,2.67,4.12,2.49,2.52,2.43,2.58,2.66,2.41,2.93,2.46,2.19
2020-07-01,2.7,2.74,2.55,2.87,2.78,2.63,3.73,2.71,2.62,4.23,2.45,2.5,2.37,2.52,2.58,2.35,2.92,2.5,2.72
2020-08-01,2.63,2.68,2.48,2.8,2.71,2.59,3.68,2.67,2.55,3.88,2.39,2.43,2.32,2.52,2.49,2.32,2.86,2.4,2.35
2020-09-01,2.66,2.7,2.43,2.86,2.73,2.61,3.76,2.68,2.59,3.98,2.44,2.46,2.42,2.53,2.52,2.34,2.89,2.41,2.42
2020-10-01,2.66,2.68,2.49,2.81,2.7,2.64,3.72,2.7,2.64,4.3,2.47,2.46,2.49,2.54,2.51,2.39,3.15,2.57,2.13
2020-11-01,2.71,2.72,2.49,2.86,2.75,2.61,3.75,2.68,2.72,4.34,2.56,2.52,2.62,2.56,2.66,2.54,3.01,2.68,2.28
