날짜,총대출,기업대출,대기업대출,중소기업대출,운전자금대출,시설자금대출,가계대출,소액대출 (500만원 이하),주택담보대출,고정형 주택담보대출,변동형 주택담보대출,예·적금담보대출,보증대출,전세자금대출,일반신용대출,집단대출,공공및기타부문대출,당좌대출,총대출(당좌대출 제외)
2018-01-01,3.53,3.66,3.37,3.73,3.91,3.37,3.39,5.03,3.08,3.21,2.97,3.05,3.3,3.25,4.33,3.38,3.2,3.58,3.53
2018-02-01,3.56,3.69,3.4,3.76,3.94,3.4,3.43,5.06,3.1,3.22,3.01,3.07,3.37,3.29,4.36,3.44,3.24,3.81,3.56
2018-03-01,3.59,3.71,3.41,3.78,3.97,3.43,3.46,5.08,3.13,3.22,3.05,3.09,3.44,3.33,4.38,3.51,3.27,3.68,3.59
2018-04-01,3.61,3.72,3.42,3.79,3.98,3.44,3.49,5.1,3.15,3.23,3.08,3.12,3.49,3.37,4.4,3.57,3.31,3.67,3.61
2018-05-01,3.63,3.73,3.43,3.8,3.99,3.45,3.52,5.11,3.17,3.24,3.11,3.14,3.55,3.39,4.41,3.63,3.32,3.56,3.63
2018-06-01,3.64,3.74,3.44,3.81,3.99,3.46,3.54,5.1,3.18,3.24,3.14,3.15,3.58,3.41,4.41,3.67,3.32,3.54,3.64
2018-07-01,3.65,3.75,3.45,3.82,4,3.48,3.55,5.11,3.2,3.25,3.15,3.17,3.61,3.41,4.42,3.7,3.34,3.58,3.65
2018-08-01,3.66,3.75,3.45,3.82,4,3.48,3.57,5.12,3.21,3.26,3.17,3.19,3.63,3.42,4.42,3.69,3.35,3.59,3.66
2018-09-01,3.66,3.75,3.45,3.82,4,3.49,3.57,5.13,3.21,3.26,3.18,3.2,3.64,3.42,4.42,3.69,3.36,3.66,3.66
2018-10-01,3.68,3.77,3.46,3.83,4.01,3.5,3.59,5.14,3.22,3.26,3.2,3.22,3.67,3.42,4.43,3.68,3.39,3.69,3.68
2018-11-01,3.69,3.78,3.47,3.85,4.02,3.52,3.6,5.14,3.23,3.27,3.21,3.24,3.68,3.42,4.44,3.67,3.38,3.52,3.69
2018-12-01,3.71,3.81,3.51,3.88,4.06,3.55,3.62,5.15,3.25,3.27,3.24,3.25,3.71,3.43,4.46,3.7,3.46,3.61,3.71
2019-01-01,3.73,3.82,3.52,3.89,4.07,3.56,3.63,5.15,3.26,3.27,3.26,3.26,3.72,3.45,4.47,3.7,3.47,3.59,3.73
2019-02-01,3.74,3.83,3.53,3.9,4.08,3.58,3.65,5.16,3.27,3.26,3.28,3.28,3.74,3.47,4.48,3.7,3.5,3.64,3.74
2019-03-01,3.74,3.82,3.52,3.89,4.07,3.57,3.65,5.16,3.28,3.26,3.29,3.28,3.74,3.48,4.48,3.71,3.5,3.76,3.74
2019-04-01,3.72,3.81,3.51,3.87,4.05,3.55,3.64,5.15,3.27,3.25,3.3,3.27,3.74,3.48,4.46,3.72,3.5,3.8,3.72
2019-05-01,3.71,3.78,3.5,3.84,4.02,3.53,3.63,5.14,3.27,3.24,3.29,3.27,3.73,3.46,4.43,3.78,3.53,3.69,3.71
2019-06-01,3.68,3.75,3.47,3.81,3.99,3.5,3.6,5.1,3.25,3.22,3.28,3.25,3.7,3.44,4.37,3.68,3.51,3.68,3.68
