날짜,한국,미국,중국,일본,독일,인도,영국,프랑스,캐나다,이탈리아,브라질,오스트레일리아,인도네시아,스위스,스웨덴,노르웨이,남아프리카 공화국,덴마크,뉴질랜드
2018-01-01,2.63,2.58,3.91,0.08,0.47,7.22,1.39,0.86,2.2,1.98,6.75,2.75,6.26,0.1,0.85,1.74,9.08,0.57,2.88
2018-02-01,2.77,2.86,3.82,0.05,0.66,7.57,1.6,0.98,2.32,2.08,6.75,2.85,6.53,0.12,0.91,1.98,8.75,0.77,2.97
2018-03-01,2.71,2.84,3.74,0.05,0.53,7.61,1.51,0.84,2.19,1.97,6.75,2.71,6.66,0.05,0.77,1.99,8.5,0.64,2.89
2018-04-01,2.66,2.87,3.62,0.05,0.48,7.55,1.51,0.78,2.25,1.77,6.6,2.73,6.86,0.12,0.71,1.93,8.48,0.55,2.82
2018-05-01,2.76,2.98,3.61,0.03,0.45,7.85,1.5,0.78,2.38,2.18,6.6,2.79,7,-0.01,0.66,1.89,8.83,0.52,2.78
2018-06-01,2.66,2.91,3.48,0.03,0.33,7.94,1.42,0.75,2.21,2.74,6.6,2.7,7.88,-0.01,0.55,1.82,9.3,0.41,2.9
2018-07-01,2.55,2.89,3.48,0.06,0.27,7.8,1.37,0.67,2.19,2.64,6.56,2.64,7.7,0.04,0.51,1.76,9.09,0.32,2.81
2018-08-01,2.46,2.89,3.58,0.11,0.29,7.82,1.4,0.7,2.3,3.16,6.56,2.59,8.1,-0.03,0.52,1.77,9.28,0.33,2.64
2018-09-01,2.32,3,3.61,0.13,0.37,8.02,1.5,0.77,2.35,2.96,6.56,2.63,8.14,0.11,0.6,1.9,9.53,0.37,2.6
2018-10-01,2.34,3.15,3.51,0.13,0.4,7.92,1.55,0.82,2.49,3.47,6.98,2.68,8.56,0.07,0.67,2,9.62,0.42,2.62
2018-11-01,2.21,3.12,3.36,0.09,0.31,7.78,1.45,0.76,2.41,3.39,6.98,2.68,7.83,-0.02,0.6,1.94,9.55,0.34,2.69
2018-12-01,1.99,2.83,3.23,-0.01,0.19,7.37,1.31,0.7,2.06,2.98,6.98,2.43,7.97,-0.15,0.47,1.83,9.54,0.23,2.45
2019-01-01,1.99,2.71,3.1,0,0.13,7.35,1.32,0.65,1.95,2.77,7.03,2.27,8.06,-0.21,0.43,1.78,9.3,0.15,2.33
2019-02-01,1.99,2.68,3.17,-0.02,0.06,7.43,1.24,0.55,1.91,2.81,7.03,2.13,7.82,-0.24,0.36,1.71,9.26,0.05,2.18
2019-03-01,1.95,2.57,3.07,-0.1,0.01,7.41,1.19,0.44,1.71,2.69,7.03,1.96,7.66,-0.35,0.29,1.66,9.24,0.16,2.02
2019-04-01,1.89,2.53,3.39,-0.05,-0.04,7.42,1.19,0.37,1.72,2.62,6.26,1.87,7.8,-0.27,0.38,1.71,9.06,0.08,1.96
