기준년월,기준년도,기준월,자치구,매매가,전세가,월세가
2018-01-01,2018,1,종로구,602125000,431250000,1459000
2018-02-01,2018,2,종로구,607646000,433333000,1459000
2018-03-01,2018,3,종로구,611500000,435313000,1459000
2018-04-01,2018,4,종로구,615833000,436354000,1459000
2018-05-01,2018,5,종로구,619167000,437604000,1457000
2018-06-01,2018,6,종로구,622708000,440417000,1448000
2018-07-01,2018,7,종로구,626417000,442458000,1443000
2018-08-01,2018,8,종로구,631021000,442813000,1443000
2018-09-01,2018,9,종로구,637167000,445292000,1443000
2018-10-01,2018,10,종로구,642313000,445875000,1445000
2018-11-01,2018,11,종로구,643875000,447438000,1445000
2018-12-01,2018,12,종로구,644083000,446604000,1445000
2019-01-01,2019,1,종로구,710411000,467054000,1462000
2019-02-01,2019,2,종로구,709786000,465804000,1457000
2019-03-01,2019,3,종로구,709661000,461964000,1457000
2019-04-01,2019,4,종로구,709554000,460179000,1457000
2019-05-01,2019,5,종로구,709214000,459196000,1457000
2019-06-01,2019,6,종로구,709250000,459018000,1457000
2019-07-01,2019,7,종로구,709250000,458643000,1458000
2019-08-01,2019,8,종로구,709679000,458911000,1458000
2019-09-01,2019,9,종로구,711357000,459732000,1458000
2019-10-01,2019,10,종로구,713732000,460518000,1459000
2019-11-01,2019,11,종로구,715696000,461661000,1455000
2019-12-01,2019,12,종로구,720375000,463339000,1456000
2020-01-01,2020,1,종로구,1022319000,586403000,1538000
2020-02-01,2020,2,종로구,1023083000,587125000,1539000
2020-03-01,2020,3,종로구,1023917000,588306000,1541000
2020-04-01,2020,4,종로구,1023250000,588917000,1541000
2020-05-01,2020,5,종로구,1021861000,589361000,1542000
2020-06-01,2020,6,종로구,1022514000,590625000,1543000
2020-07-01,2020,7,종로구,1029542000,592292000,1543000
2020-08-01,2020,8,종로구,1033625000,592708000,1543000
2020-09-01,2020,9,종로구,1036486000,593597000,1543000
2020-10-01,2020,10,종로구,1036681000,594347000,1544000
2020-11-01,2020,11,종로구,1037986000,595569000,1545000
2020-12-01,2020,12,종로구,1039903000,599639000,1552000
2021-01-01,2021,1,종로구,1041444000,602222000,1554000
2021-02-01,2021,2,종로구,1044347000,603417000,1555000
2021-03-01,2021,3,종로구,1045819000,603778000,1555000
2021-04-01,2021,4,종로구,1047819000,604278000,1555000
2021-05-01,2021,5,종로구,1048722000,604417000,1555000
2021-06-01,2021,6,종로구,1050750000,604847000,1548000
2021-07-01,2021,7,종로구,986488000,615663000,1247000
2021-08-01,2021,8,종로구,993400000,620913000,1254000
2021-09-01,2021,9,종로구,1000450000,625763000,1264000
2021-10-01,2021,10,종로구,1010325000,631013000,1263000
2021-11-01,2021,11,종로구,1019263000,635275000,1278000
2021-12-01,2021,12,종로구,1020950000,636475000,1281000
2022-01-01,2022,1,종로구,1020513000,636363000,1283000
2022-02-01,2022,2,종로구,1018100000,634475000,1286000
2022-03-01,2022,3,종로구,1016508000,633859000,1288000
2022-04-01,2022,4,종로구,1015970000,633104000,1295000
2022-05-01,2022,5,종로구,1015670000,632641000,1296000
2022-06-01,2022,6,종로구,1014683000,631054000,1292000
2022-07-01,2022,7,종로구,1010645000,629541000,1293000
2022-08-01,2022,8,종로구,1002308000,625679000,1296000
2022-09-01,2022,9,종로구,990920000,619304000,1299000
