기준년도,기준월,15세이상인구_합계,15세이상인구_남자,15세이상인구_여자,경제활동인구_합계,경제활동인구_남자,경제활동인구_여자,경제활동인구_취업자_합계,경제활동인구_취업자_남자,경제활동인구_취업자_여자,경제활동인구_실업자_합계,경제활동인구_실업자_남자,경제활동인구_실업자_여자,비경제활동인구_합계,비경제활동인구_남자,비경제활동인구_여자
2018,1,8540,4085,4456,5341,2956,2385,5105,2830,2275,237,126,110,3199,1129,2070
2018,2,8538,4083,4455,5344,2946,2398,5060,2797,2263,284,149,135,3194,1137,2057
2018,3,8534,4079,4455,5381,2976,2404,5083,2799,2284,298,178,121,3153,1103,2050
2018,4,8533,4078,4454,5363,2952,2412,5098,2806,2291,266,145,120,3169,1127,2043
2018,5,8530,4076,4454,5381,2966,2415,5097,2801,2296,285,165,120,3149,1110,2039
2018,6,8528,4075,4454,5382,2956,2426,5124,2805,2318,258,151,107,3147,1119,2028
2018,7,8522,4072,4451,5355,2929,2426,5102,2782,2321,253,148,105,3167,1142,2025
2018,8,8516,4068,4448,5330,2914,2416,5066,2762,2305,264,152,112,3186,1154,2032
2018,9,8510,4065,4446,5311,2893,2419,5050,2754,2296,262,139,123,3199,1172,2027
2018,10,8504,4061,4443,5277,2874,2403,5055,2760,2295,222,114,108,3227,1187,2040
2018,11,8497,4057,4440,5291,2888,2403,5089,2780,2308,202,107,95,3207,1169,2037
2018,12,8492,4055,4438,5259,2888,2370,5036,2751,2284,223,137,86,3234,1166,2068
2019,1,8485,4048,4437,5244,2889,2355,4977,2738,2238,268,151,117,3241,1159,2081
2019,2,8487,4051,4436,5236,2882,2354,4958,2735,2223,278,147,131,3251,1169,2082
2019,3,8483,4049,4435,5275,2901,2373,4982,2739,2243,293,162,131,3209,1147,2061
2019,4,8481,4047,4434,5329,2921,2408,5052,2761,2291,277,160,117,3152,1126,2026
2019,5,8475,4043,4432,5368,2948,2420,5107,2789,2319,261,160,101,3108,1095,2013
2019,6,8473,4042,4431,5368,2942,2426,5134,2800,2335,234,143,92,3105,1100,2005
2019,7,8475,4043,4432,5389,2958,2432,5153,2824,2329,236,133,103,3086,1085,2001
2019,8,8474,4041,4433,5337,2925,2412,5132,2804,2329,205,121,84,3137,1116,2021
2019,9,8474,4040,4434,5345,2904,2441,5151,2793,2357,194,110,84,3130,1137,1993
2019,10,8475,4040,4435,5335,2886,2449,5143,2775,2367,192,110,82,3141,1154,1986
2019,11,8475,4039,4436,5311,2878,2433,5129,2767,2362,182,111,71,3164,1162,2003
2019,12,8477,4041,4437,5295,2849,2446,5117,2758,2359,177,91,87,3183,1192,1991
2020,1,8482,4041,4441,5313,2856,2457,5089,2749,2340,224,107,117,3170,1186,1984
2020,2,8492,4046,4446,5330,2870,2460,5103,2752,2351,227,119,109,3162,1176,1986
2020,3,8499,4048,4451,5282,2863,2419,5017,2728,2289,265,135,130,3217,1185,2032
2020,4,8506,4050,4456,5267,2863,2404,4986,2721,2265,281,142,139,3239,1187,2052
