기준년도,기준월,지역,아파트,비아파트,합계
2018,1,서울,2031,4092,6123
2018,2,서울,938,2880,3818
2018,3,서울,2055,2695,4750
2018,4,서울,2524,3218,5742
2018,5,서울,2367,3632,5999
2018,6,서울,729,3455,4184
2018,7,서울,2838,3902,6740
2018,8,서울,1830,2713,4543
2018,9,서울,1437,2408,3845
2018,10,서울,3461,2526,5987
2018,11,서울,6143,2538,8681
2018,12,서울,6495,3051,9546
2019,1,서울,5234,3142,8376
2019,2,서울,2980,2619,5599
2019,3,서울,11061,4271,15332
2019,4,서울,1012,2612,3624
2019,5,서울,1313,2166,3479
2019,6,서울,836,1858,2694
2019,7,서울,2118,1757,3875
2019,8,서울,2786,1704,4490
2019,9,서울,1187,1578,2765
2019,10,서울,1145,1985,3130
2019,11,서울,1819,2624,4443
2019,12,서울,4729,2048,6777
2020,1,서울,1626,1970,3596
2020,2,서울,3293,2570,5863
2020,3,서울,2384,2417,4801
2020,4,서울,2141,2342,4483
2020,5,서울,1778,2458,4236
2020,6,서울,770,3056,3826
2020,7,서울,2013,2577,4590
2020,8,서울,967,2271,3238
2020,9,서울,2084,3418,5502
2020,10,서울,5046,2142,7188
2020,11,서울,2765,2186,4951
2020,12,서울,5537,2386,7923
2021,1,서울,703,2209,2912
2021,2,서울,4777,2277,7054
2021,3,서울,4281,2590,6871
2021,4,서울,7406,2925,10331
2021,5,서울,2224,2443,4667
2021,6,서울,3036,3409,6445
2021,7,서울,5888,3211,9099
2021,8,서울,2209,2508,4717
2021,9,서울,9774,2252,12026
2021,10,서울,6406,1751,8157
2021,11,서울,5406,2145,7551
2021,12,서울,1552,3895,5447
2022,1,서울,2394,1469,3863
2022,2,서울,4072,2056,6128
2022,3,서울,1105,2022,3127
2022,4,서울,2057,1818,3875
2022,5,서울,1260,1480,2740
2022,6,서울,3473,2580,6053
2022,7,서울,2040,1204,3244
2022,8,서울,2213,672,2885
2022,9,서울,1027,-29,998
2022,10,서울,1512,3050,4562
2022,11,서울,1129,1167,2296
2022,12,서울,3055,938,3993
2023,1,서울,1366,557,1923
2023,2,서울,6204,426,6630
2023,3,서울,3696,562,4258
2023,4,서울,2249,353,2602
2023,5,서울,567,444,1011
2023,6,서울,1012,310,1322
2023,7,서울,2149,476,2625
2023,8,서울,3126,364,3490
2023,9,서울,103,273,376
2023,10,서울,3448,236,3684
2023,11,서울,6483,420,6903
2023,12,서울,3640,313,3953
2024,1,서울,2184,341,2525
2024,2,서울,2318,185,2503
2024,3,서울,1348,225,1573
