기준년도,기준월,지역,아파트,비아파트,합계
2018,1,서울,2152,2255,4407
2018,2,서울,3796,3068,6864
2018,3,서울,3073,4329,7402
2018,4,서울,4764,3316,8080
2018,5,서울,6186,3548,9734
2018,6,서울,3663,3328,6991
2018,7,서울,5690,3578,9268
2018,8,서울,1743,3134,4877
2018,9,서울,3611,2299,5910
2018,10,서울,1656,3000,4656
2018,11,서울,4098,2467,6565
2018,12,서울,4241,1825,6066
2019,1,서울,1024,2223,3247
2019,2,서울,5270,2656,7926
2019,3,서울,2529,3112,5641
2019,4,서울,2236,2400,4636
2019,5,서울,1432,2778,4210
2019,6,서울,5359,2016,7375
2019,7,서울,4469,2557,7026
2019,8,서울,3144,1916,5060
2019,9,서울,1972,1755,3727
2019,10,서울,2256,2017,4273
2019,11,서울,1957,2313,4270
2019,12,서울,22434,1992,24426
2020,1,서울,259,1683,1942
2020,2,서울,3197,1709,4906
2020,3,서울,1697,2766,4463
2020,4,서울,9000,2524,11524
2020,5,서울,3133,2543,5676
2020,6,서울,8697,2626,11323
2020,7,서울,7310,2784,10094
2020,8,서울,329,2206,2535
2020,9,서울,296,2460,2756
2020,10,서울,475,2504,2979
2020,11,서울,1212,2201,3413
2020,12,서울,5897,2383,8280
2021,1,서울,581,1557,2138
2021,2,서울,3112,1721,4833
2021,3,서울,1961,2439,4400
2021,4,서울,784,2271,3055
2021,5,서울,1525,2501,4026
2021,6,서울,4379,2463,6842
2021,7,서울,1596,2874,4470
2021,8,서울,3497,2264,5761
2021,9,서울,3152,2217,5369
2021,10,서울,13445,2477,15922
2021,11,서울,1946,2426,4372
2021,12,서울,7105,2147,9252
2022,1,서울,3099,1628,4727
2022,2,서울,2889,1487,4376
2022,3,서울,5924,1818,7742
2022,4,서울,3408,1817,5225
2022,5,서울,2532,2078,4610
2022,6,서울,7312,2068,9380
2022,7,서울,5834,1636,7470
2022,8,서울,2904,1378,4282
2022,9,서울,4133,1060,5193
2022,10,서울,2727,1430,4157
2022,11,서울,1872,1448,3320
2022,12,서울,2465,839,3304
2023,1,서울,1608,587,2195
2023,2,서울,882,635,1517
2023,3,서울,3833,859,4692
2023,4,서울,848,702,1550
2023,5,서울,2050,759,2809
2023,6,서울,455,581,1036
2023,7,서울,1302,375,1677
2023,8,서울,1305,273,1578
2023,9,서울,434,321,755
2023,10,서울,3660,328,3988
2023,11,서울,5238,545,5783
2023,12,서울,281,387,668
2024,1,서울,981,355,1336
2024,2,서울,910,388,1298
