"시점",예금취급기관,예금은행,비은행예금취급기관
"2022. 12",408773.7,350423.8,58349.9
"2022. 11",411123.9,352212.1,58911.8
"2022. 10",412196.5,353154.8,59041.7
"2022. 09",412258.7,353379.7,58879.0
"2022. 08",412379.4,353680.2,58699.2
"2022. 07",412114.2,353800.7,58313.5
"2022. 06",412325.9,354282.0,58043.9
"2022. 05",411590.1,353971.6,57618.5
"2022. 04",410774.4,353689.7,57084.7
"2022. 03",409706.5,352801.2,56905.3
"2022. 02",410414.3,353496.4,56917.9
"2022. 01",406480.6,349757.8,56722.8
"2021. 12",406570.8,349914.7,56656.1
"2021. 11",406120.7,349359.1,56761.5
"2021. 10",402983.9,346925.1,56058.8
"2021. 09",399927.9,343981.5,55946.5
"2021. 08",396530.1,340884.3,55645.8
"2021. 07",393503.4,338603.0,54900.4
"2021. 06",386051.3,332139.4,53911.9
"2021. 05",383313.8,330308.3,53005.4
"2021. 04",385299.8,332640.9,52658.9
"2021. 03",375179.8,324146.7,51033.1
"2021. 02",371717.3,321493.4,50223.9
"2021. 01",368505.5,318912.2,49593.3
"2020. 12",363817.0,314963.4,48853.5
"2020. 11",361190.4,312736.3,48454.1
"2020. 10",355160.8,307478.0,47682.8
"2020. 09",350203.9,303023.1,47180.8
"2020. 08",345570.0,298771.6,46798.4
"2020. 07",340297.2,293846.6,46450.6
"2020. 06",336897.1,290795.0,46102.1
"2020. 05",334236.2,288171.8,46064.4
"2020. 04",332221.8,286316.8,45905.0
"2020. 03",330397.8,284821.7,45576.1
"2020. 02",326252.6,280797.6,45455.0
"2020. 01",323866.6,278623.0,45243.6
"2019. 12",323097.2,277978.7,45118.5
"2019. 11",321228.2,276243.6,44984.6
"2019. 10",318900.5,274102.3,44798.3
"2019. 09",315819.7,271268.1,44551.5
"2019. 08",314138.1,269423.7,44714.3
"2019. 07",310648.3,265963.2,44685.1
"2019. 06",307850.9,263417.0,44433.9
"2019. 05",306218.9,261748.6,44470.3
"2019. 04",304106.8,259680.8,44426.0
"2019. 03",302256.6,258154.6,44102.0
"2019. 02",301725.2,257365.0,44360.2
"2019. 01",301208.6,256885.8,44322.8
"2018. 12",301803.2,257626.8,44176.4
"2018. 11",300850.4,256775.7,44074.7
"2018. 10",298189.6,254393.4,43796.2
"2018. 09",295266.1,251547.8,43718.3
"2018. 08",293203.6,249245.6,43958.0
"2018. 07",291201.8,247169.5,44032.3
"2018. 06",289868.6,245744.6,44124.0
"2018. 05",288940.0,244660.4,44279.6
"2018. 04",287303.5,242900.6,44402.9
"2018. 03",285382.6,241036.3,44346.4
"2018. 02",284094.8,239632.9,44461.9
"2018. 01",283669.8,239190.4,44479.4
